feature,rss,gcv,nb_subset,timestep
VLGE15_press,0.16,0.16,0.10,19
YOM007_wl,0.05,0.05,0.03,19
YOM006_wl,0.05,0.05,0.03,19
NAN014_wl,0.04,0.04,0.06,19
Day,0.03,0.03,0.02,19
VLGE13_wl,0.02,0.02,0.03,19
DNP055_humid,0.01,0.01,0.03,19
DNP022_press,0.01,0.01,0.03,19
Dam_SK_Useable_WaterVol,0.01,0.01,0.03,19
NAN013_wl,0.01,0.01,0.03,19
Dam_KiewKorMa_Useable_WaterVol,0.01,0.01,0.03,19
TB0005_press,0.01,0.01,0.03,19
NAN001_wl,0.01,0.00,0.06,19
PIN005_wl,0.01,0.01,0.03,19
DNP027_temp,0.00,0.00,0.03,19
Dam_KiewLom_Useable_WaterVol,0.00,0.00,0.03,19
BKK019_wl,0.00,0.00,0.03,19
DNP019_temp,0.00,0.00,0.03,19
CPY017_wl,0.00,0.00,0.03,19
YOM004_wl,0.00,0.00,0.03,19
VLGE12_press,0.00,0.00,0.03,19
VLGE04_temp,0.00,0.00,0.03,19
Dam_KiewKorMa_WaterVol,0.00,0.00,0.03,19
YOM001_wl,0.00,0.00,0.03,19
CHM002_wl,0.50,0.50,0.03,20
Dam_KiewLom_Useable_WaterVol,0.18,0.18,0.03,20
YOM006_wl,0.07,0.07,0.03,20
VLGE15_press,0.06,0.06,0.08,20
DNP003_temp,0.04,0.04,0.03,20
PIN005_wl,0.03,0.03,0.07,20
Dam_SK_Output_WaterVol,0.02,0.02,0.03,20
YOM007_wl,0.02,0.02,0.03,20
Dam_BH_WaterVol,0.01,0.01,0.03,20
DNP026_temp,0.01,0.01,0.03,20
VLGE15_temp,0.01,0.01,0.03,20
NAN002_wl,0.01,0.01,0.03,20
DNP055_temp,0.01,0.01,0.03,20
GLF001_wl,0.01,0.01,0.03,20
CPY006_wl,0.01,0.01,0.03,20
DNP033_press,0.00,0.00,0.03,20
DNP003_press,0.00,0.00,0.03,20
TB0005_press,0.00,0.00,0.03,20
DIV004_wl,0.00,0.00,0.03,20
WAN002_wl,0.00,0.00,0.03,20
VLGE12_wl,0.00,0.00,0.03,20
TB0007_temp,0.00,0.00,0.03,20
CPY016_wl,0.00,0.00,0.03,20
CPY011_wl,0.00,0.00,0.03,20
VLGE15_press,0.59,0.59,0.16,21
PIN005_wl,0.24,0.24,0.04,21
Dam_BH_Useable_WaterVol,0.04,0.04,0.04,21
DNP007_temp,0.03,0.03,0.04,21
Dam_KheawNoi_WaterVol,0.03,0.03,0.04,21
NAN005_wl,0.02,0.02,0.04,21
Dam_SK_WaterVol,0.02,0.02,0.04,21
DNP017_temp,0.01,0.01,0.04,21
DIV003_wl,0.00,0.00,0.04,21
VLGE12_press,0.00,0.00,0.04,21
YOM005_wl,0.00,0.00,0.04,21
PAS009_wl,0.00,0.00,0.04,21
YOM008_wl,0.00,0.00,0.04,21
NAN014_wl,0.00,0.00,0.04,21
DNP003_temp,0.00,0.00,0.04,21
VLGE13_wl,0.00,0.00,0.04,21
NAN009_wl,0.00,0.00,0.04,21
THA002_wl,0.00,0.00,0.04,21
CHM004_wl,0.00,0.00,0.04,21
DNP055_temp,0.00,0.00,0.04,21
TB0001_rain,0.00,0.00,0.00,21
VLGE28_rain,0.00,0.00,0.00,21
VLGE15_press,0.55,0.55,0.16,22
DNP015_temp,0.26,0.26,0.04,22
PAS009_wl,0.09,0.09,0.04,22
PIN005_wl,0.03,0.03,0.04,22
Dam_KiewLom_Useable_WaterVol,0.02,0.02,0.04,22
Dam_KiewKorMa_Useable_WaterVol,0.01,0.01,0.04,22
DNP032_temp,0.01,0.01,0.04,22
YOM009_wl,0.01,0.01,0.04,22
DNP028_temp,0.01,0.01,0.04,22
VLGE13_wl,0.00,0.00,0.04,22
VLGE12_wl,0.00,0.00,0.04,22
DNP026_temp,0.00,0.00,0.04,22
GLF001_wl,0.00,0.00,0.04,22
LBI001_rain,0.00,0.00,0.04,22
VLGE15_temp,0.00,0.00,0.04,22
DIV006_wl,0.00,0.00,0.04,22
DIV001_wl,0.00,0.00,0.04,22
DNP022_humid,0.00,0.00,0.04,22
CHM004_wl,0.00,0.00,0.04,22
NAN014_wl,0.00,0.00,0.04,22
THA002_rain,0.00,0.00,0.00,22
VLGE15_press,0.66,0.66,0.11,23
PIN005_wl,0.14,0.14,0.04,23
DNP015_humid,0.09,0.09,0.06,23
YOM007_wl,0.04,0.04,0.04,23
DNP055_temp,0.02,0.02,0.04,23
DNP029_temp,0.01,0.01,0.04,23
PIN003_wl,0.01,0.01,0.04,23
DNP001_temp,0.01,0.01,0.04,23
Day,0.00,0.00,0.04,23
DIV002_wl,0.00,0.00,0.04,23
VLGE15_humid,0.00,0.00,0.04,23
PAS002_wl,0.00,0.00,0.04,23
DNP026_temp,0.00,0.00,0.04,23
DNP005_rain,0.00,0.00,0.04,23
LBI001_rain,0.00,0.00,0.04,23
PIN004_wl,0.00,0.00,0.04,23
DNP022_temp,0.00,0.00,0.04,23
DNP003_temp,0.00,0.00,0.04,23
CPY016_wl,0.00,0.00,0.04,23
DNP009_press,0.00,0.00,0.04,23
CHM002_wl,0.00,0.00,0.04,23
DNP009_temp,0.00,0.00,0.04,23
Dam_SK_WaterVol,0.63,0.64,0.06,24
VLGE15_rain,0.14,0.14,0.08,24
CPY017_wl,0.05,0.05,0.04,24
PIN005_wl,0.03,0.03,0.04,24
Day,0.03,0.03,0.04,24
DNP015_humid,0.02,0.02,0.04,24
DNP009_press,0.02,0.02,0.04,24
DNP005_rain,0.01,0.01,0.04,24
DNP022_temp,0.01,0.01,0.04,24
BKK020_wl,0.01,0.01,0.04,24
YOM008_wl,0.01,0.01,0.04,24
TB0007_humid,0.01,0.01,0.04,24
PIN003_wl,0.00,0.00,0.04,24
CPY016_wl,0.00,0.00,0.04,24
CPY001_wl,0.00,0.00,0.04,24
Dam_KheawNoi_Useable_WaterVol,0.00,0.00,0.04,24
Dam_BH_Useable_WaterVol,0.00,0.00,0.04,24
DNP032_wl,0.00,0.00,0.04,24
Dam_BH_WaterVol,0.00,0.00,0.04,24
DNP019_temp,0.00,0.00,0.04,24
NAN008_wl,0.00,0.00,0.04,24
Dam_SK_Input_WaterVol,0.00,0.00,0.04,24
Dam_SK_WaterVol,0.56,0.57,0.04,25
VLGE15_rain,0.22,0.22,0.12,25
TB0004_wl,0.04,0.04,0.04,25
TB0005_humid,0.04,0.04,0.04,25
Dam_BH_Useable_WaterVol,0.03,0.03,0.04,25
NAN008_wl,0.02,0.02,0.06,25
DNP055_humid,0.02,0.02,0.08,25
YOM009_wl,0.02,0.02,0.04,25
DNP027_press,0.01,0.01,0.04,25
VLGE12_press,0.01,0.01,0.04,25
VLGE15_humid,0.01,0.00,0.04,25
DNP025_temp,0.00,0.00,0.04,25
WAN003_wl,0.00,0.00,0.04,25
YOM008_wl,0.00,0.00,0.04,25
VLGE15_press,0.00,0.00,0.04,25
CPY003_wl,0.00,0.00,0.04,25
DNP009_press,0.00,0.00,0.04,25
Dam_KheawNoi_Input_WaterVol,0.00,0.00,0.04,25
YOM005_wl,0.00,0.00,0.04,25
NAN005_wl,0.00,0.00,0.04,25
